ID,Folder name,File name,File extension,#,"Last Word after last "" """,Date values,"Count # Col with "" """,PK#,Dates RPT,Dates,Dates (FI) ~See Function,*Mix*,*R2*,*Greta*,*Wato*,?President*,?Bat*,?PM*,*Today*,Day of Week,Week #,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,#.1,Weekday,ISO Week #
20,G:\MP3,There's One by Cliff Richard Rise UP Rhino R2KB291118,mp3,11099,R2KB291118,29/11/2018,8,MP3/11099,Rh/in/o,29/11/2018,29/11/2018, ,There's One by Cliff Richard Rise UP Rhino R2KB291118, , , , , , ,Friday,48,There's , One, by, Cliff, Richard, Rise,11099,Friday,48
21,G:\MP3,There_s One by Cliff Richard Rise UP Rhino R2KB291118,mp3,11105,R2KB291118,29/11/2018,8,MP3/11105,Rh/in/o,29/11/2018,29/11/2018, ,There_s One by Cliff Richard Rise UP Rhino R2KB291118, , , , , , ,Friday,48,There_s , One, by, Cliff, Richard, Rise,11105,Friday,48
22,G:\MP3,There is No God But You R2 Ricky Ross 290818,mp3,11091,290818,29/08/2018,9,MP3/11091,Ro/ss/ 2,29/08/2018,29/08/2018, ,There is No God But You R2 Ricky Ross 290818, , , , , , ,Thursday,35,There , is, No, God, But, You,11091,Thursday,35
23,G:\MP3,The Waterboys Where The Action Is JWR2 2,mp3,11042,2,2//20,7,MP3/11042,2,2//20, , ,The Waterboys Where The Action Is JWR2 2, , , , , , ,,,The , Waterboys, Where, The, Action, Is,11042,,
24,G:\MP3,The Waterboys Where The Action Is JWR2,mp3,11043,JWR2,,6,MP3/11043,,, , ,The Waterboys Where The Action Is JWR2, , , , , , ,Sunday,52,The , Waterboys, Where, The, Action, Is,11043,Sunday,52
25,G:\MP3,The Sound Of Silence by Disturbed R2 290818,mp3,11017,290818,29/08/2018,7,MP3/11017,R2/ 2/90,29/08/2018,29/08/2018, ,The Sound Of Silence by Disturbed R2 290818, , , , , , ,Thursday,35,The , Sound, Of, Silence, by, Disturbed,11017,Thursday,35
26,G:\MP3,The Sound Of Silence by Disturbed R2 011118,mp3,11016,011118,01/11/2018,7,MP3/11016,R2/ 0/11,01/11/2018,01/11/2018, ,The Sound Of Silence by Disturbed R2 011118, , , , , , ,Friday,44,The , Sound, Of, Silence, by, Disturbed,11016,Friday,44
27,G:\MP3,The Kinks Waterloo Sunset SWR2,mp3,10916,00/01/00,,5,MP3/10916,,, , ,The Kinks Waterloo Sunset SWR2, , , , , , ,Sunday,52,The , Kinks, Waterloo, Sunset,,,10916,Sunday,52
28,G:\MP3,The Killers My Own Soul's Warning AnitaSR2 Mix 130720,mp3,10913,130720,13/07/2020,8,MP3/10913,Mi/x /13,13/07/2020,13/07/2020, Mix,The Killers My Own Soul's Warning AnitaSR2 Mix 130720, , , , , , ,Tuesday,29,The , Killers, My, Own, Soul's, Warning,10913,Tuesday,29
29,G:\MP3,The Impossible Dream Brian Stokes Mitchell R2ep 160918,mp3,10897,160918,16/09/2018,7,MP3/10897,R2/ep/ 1,16/09/2018,16/09/2018, ,The Impossible Dream Brian Stokes Mitchell R2ep 160918, , , , , , ,Monday,37,The , Impossible, Dream, Brian, Stokes, Mitchell,10897,Monday,37
30,G:\MP3,The Human League DYWMB Sarah Cox R2 Mix RR 180620,mp3,10891,180620,18/06/2020,9,MP3/10891,RR/ 1/80,18/06/2020,18/06/2020, Mix,The Human League DYWMB Sarah Cox R2 Mix RR 180620, , , , , , ,Friday,25,The , Human, League, DYWMB, Sarah, Cox,10891,Friday,25
31,G:\MP3,The Clash V2 Jo' Whiley BBC R2 19012023 (128kbps),mp3,10821,(128kbps),19/01/2020,8,MP3/10821,19/01/2020,19/01/2020, , ,The Clash V2 Jo' Whiley BBC R2 19012023 (128kbps), , , , , , ,Monday,3,The , Clash, V2, Jo', Whiley, BBC,10821,Monday,3
